file_name,genome_name,number_of_contigs,size_of_genome,off_limit_region,corrected_genome_size
Bacteroides-plebeius-DSM-17135-GCF_000187895.1_ASM18789v1,Bacteroides-plebeius-DSM-17135,19,4421924,6316,4415608
Bacteroides-sp.-1_1_6-GCF_000159875.2_Bact_sp_1_1_6_V2,Bacteroides-sp-1-1-6,15,6760735,22367,6738368
Bacteroides-sp.-2_1_16-GCF_000162135.1_ASM16213v1,Bacteroides-sp-2-1-16,18,5236303,14298,5222005
Bacteroides-sp.-2_1_22-GCF_000162155.1_ASM16215v1,Bacteroides-sp-2-1-22,36,6003748,1922,6001826
Bacteroides-sp.-3_1_19-GCF_000163655.1_ASM16365v1,Bacteroides-sp-3-1-19,36,5250116,27192,5222924
Bacteroides-sp.-9_1_42FAA-GCF_000157075.2_Bact_sp_9_1_42FAA_V2,Bacteroides-sp-9-1-42FAA,17,5618568,24086,5594482
Bacteroides-sp.-D2-GCF_000159075.2_Bact_sp_D2_V2,Bacteroides-sp-D2,12,6920457,14796,6905661
Bacteroides-stercoris-ATCC-43183-DSMZ-19555-GCF_000154525.1_ASM15452v1,Bacteroides-stercoris-ATCC-43183,17,4009829,4921,4004908
Bacteroides-thetaiotaomicron-VPI-5482-GCF_000011065.1_ASM1106v1,Bacteroides-thetaiotaomicron-VPI-5482,2,6293399,2731,6290668
Bacteroides-uniformis-ATCC-8492-GCF_000154205.1_ASM15420v1,Bacteroides-uniformis-ATCC-8492,33,4719097,3230,4715867
Bacteroides-vulgatus-ATCC-8482-GCF_000012825.1_ASM1282v1,Bacteroides-vulgatus-ATCC-8482,1,5163189,25759,5137430
Bacteroides-xylanisolvens-SD-CC-1b-subbed-w-DSMZ-18836-GCF_000178215.1_ASM17821v1,Bacteroides-xylanisolvens-DSMZ-18836,236,6059812,32514,6027298
Bifidobacterium-adolescentis-L2-32-GCF_000154085.1_ASM15408v1,Bifidobacterium-adolescentis-L2-32,40,2389110,1354,2387756
Bifidobacterium-breve-DSM-20213-GCF_001025175.1_ASM102517v1,Bifidobacterium-breve-DSM-20213,1,2269415,100,2269315
Bifidobacterium-catenulatum-DSM-16992-GCF_001025195.1_ASM102519v1,Bifidobacterium-catenulatum-DSM-16992,1,2079525,561,2078964
Bifidobacterium-longum-infantis-ATCC-55813-GCF_000020425.1_ASM2042v1,Bifidobacterium-longum-infantis-ATCC-55813,1,2832748,3893,2828855
Bifidobacterium-pseudocatenulatum-DSM-20438-GCF_001025215.1_ASM102521v1,Bifidobacterium-pseudocatenulatum-DSM-20438,1,2313752,623,2313129
Blautia-hansenii-DSM-20583-GCF_000156675.1_ASM15667v1,Blautia-hansenii-DSM-20583,8,3058721,626,3058095
Blautia-hydrogenotrophica-DSM-10507-GCF_000157975.1_ASM15797v1,Blautia-hydrogenotrophica-DSM-10507,33,3626943,1944,3624999
Bryantella-formatexigens-DSM-14469-GCF_000173815.1_ASM17381v1,Bryantella-formatexigens-DSM-14469,58,4548960,1883,4547077
Butyrivibrio-crossotus-DSM-2876-GCF_000156015.1_ASM15601v1,Butyrivibrio-crossotus-DSM-2876,31,2496039,3831,2492208
Catenibacterium-mitsuokai-DSM-15897-GCF_000173795.1_ASM17379v1,Catenibacterium-mitsuokai-DSM-15897,475,2671313,2732,2668581
Clostridium-asparagiforme-DSM-15981-GCF_000158075.1_ASM15807v1,Clostridium-asparagiforme-DSM-15981,92,6417332,6284,6411048
Clostridium-bartlettii-DSM-16795-GCF_000154445.1_ASM15444v1,Clostridium-bartlettii-DSM-16795,18,2972256,511,2971745
Clostridium-bolteae-ATCC-BAA-613-GCF_000154365.1_ASM15436v1,Clostridium-bolteae-ATCC-BAA-613,68,6557988,17400,6540588
Clostridium-hathewayi-DSM-13479-GCF_000160095.1_ASM16009v1,Clostridium-hathewayi-DSM-13479,714,7163884,4204,7159680
Clostridium-hylemonae-DSM-15053-GCF_000156515.1_ASM15651v1,Clostridium-hylemonae-DSM-15053,123,3889859,2297,3887562
Clostridium-leptum-DSM-753-GCF_000154345.1_ASM15434v1,Clostridium-leptum-DSM-753,21,3270209,3928,3266281
Clostridium-methylpentosum-DSM-5476-GCF_000158655.1_ASM15865v1,Clostridium-methylpentosum-DSM-5476,17,3478423,4843,3473580
Clostridium-nexile-DSM-1787-GCF_000156035.2_ASM15603v2,Clostridium-nexile-DSM-1787,99,3995628,16260,3979368
Clostridium-saccharolyticum-WM1-DSMZ-2544-GCF_000144625.1_ASM14462v1,Clostridium-saccharolyticum-WM1,1,4662871,9274,4653597
Clostridium-scindens-ATCC-35704-GCF_000154505.1_ASM15450v1,Clostridium-scindens-ATCC-35704,41,3622605,5522,3617083
Clostridium-spiroforme-DSM-1552-GCF_000154805.1_ASM15480v1,Clostridium-spiroforme-DSM-1552,12,2507885,0,2507885
Clostridium-sp.-L2-50-GCF_000154245.1_ASM15424v1,Clostridium-sp-L2-50,20,2954616,1785,2952831
Clostridium-sp.-M62-1-GCF_000159055.1_ASM15905v1,Clostridium-sp-M62-1,26,3842594,17770,3824824
Clostridium-sporogenes-ATCC-15579-GCF_000155085.1_ASM15508v1,Clostridium-sporogenes-ATCC-15579,2,4102325,100,4102225
Collinsella-aerofaciens-ATCC-25986-GCF_000169035.1_ASM16903v1,Collinsella-aerofaciens-ATCC-25986,25,2439869,4824,2435045
Collinsella-stercoris-DSM-13279-GCF_000156215.1_ASM15621v1,Collinsella-stercoris-DSM-13279,35,2475429,655,2474774
Coprococcus-comes-ATCC-27758-GCF_000155875.1_ASM15587v1,Coprococcus-comes-ATCC-27758,13,3242215,5823,3236392
Coprococcus-eutactus-ATCC-27759-GCF_000154425.1_ASM15442v1,Coprococcus-eutactus-ATCC-27759,23,3102987,3535,3099452
Desulfovibrio-piger-ATCC-29098-GCF_000156375.1_ASM15637v1,Desulfovibrio-piger-ATCC-29098,47,2867216,0,2867216
Dialister-invisus-DSM-15470-GCF_000160055.1_ASM16005v1,Dialister-invisus-DSM-15470,1,1895960,0,1895960
Dorea-formicigenerans-ATCC-27755-GCF_000169235.1_ASM16923v1,Dorea-formicigenerans-ATCC-27755,16,3186031,5477,3180554
Dorea-longicatena-DSM-13814-GCF_000154065.1_ASM15406v1,Dorea-longicatena-DSM-13814,36,2915433,3317,2912116
Eggerthella-lenta-DSM-2243-GCF_000024265.1_ASM2426v1,Eggerthella-lenta-DSM-2243,1,3632260,702,3631558
Ethanoligenens-harbinense-YUAN-3-DSMZ-18485-GCF_000178115.2_ASM17811v2,Ethanoligens-harbinense-YUAN-3,1,3008576,0,3008576
Eubacterium-biforme-DSM-3989-GCF_000156655.1_ASM15665v1,Eubacterium-biforme-DSM-3989,44,2517763,2703,2515060
Eubacterium-dolichum-DSM-3991-GCF_000154285.1_ASM15428v1,Eubacterium-dolichum-DSM-3991,19,2191053,4036,2187017
Eubacterium-eligens-ATCC-27750-DSMZ-3376-GCF_000146185.1_ASM14618v1,Eubacterium-eligens-ATCC-27750,3,2831389,933,2830456
Eubacterium-hallii-DSM-3353-GCF_000173975.1_ASM17397v1,Eubacterium-hallii-DSM-3353,175,3290996,17756,3273240
Eubacterium-rectale-ATCC-33656-GCF_000020605.1_ASM2060v1,Eubacterium-rectale-ATCC-33656,1,3449685,6234,3443451
Eubacterium-siraeum-DSM-15702-GCF_000382085.1_ASM38208v1,Eubacterium-siraeum-DSM-15702,34,2664035,0,2664035
Eubacterium-ventriosum-ATCC-27560-DSM-3988-GCF_000153885.1_ASM15388v1,Eubacterium-ventriosum-ATCC-27560,27,2870795,943,2869852
Faecalibacterium-prausnitzii-A2-165-GCF_000162015.1_ASM16201v1,Faecalibacterium-prausnitzii-A2-165,20,3090349,7295,3083054
Granulicatella-adiacens-ATCC-49175-DSMZ-9848-GCF_000160675.1_ASM16067v1,Granulicatella-adiacens-ATCC-49175,10,1947166,5148,1942018
Holdemania-filiformis-DSM-12042-GCF_000157995.1_ASM15799v1,Holdemania-filiformis-DSM-12042,35,3932923,6783,3926140
Lactobacillus-ruminis-ATCC-25644-GCF_000159375.2_ASM15937v2,Lactobacillus-ruminis-ATCC-25644,7,2108740,1363,2107377
Lactococcus-lactis-subsp.-lactis-Il1403-sub-DSMZ-20729-GCF_000006865.1_ASM686v1,Lactococcus-lactis-DSMZ-20729,1,2365589,1087,2364502
Megasphaera-DSMZ-102144-GCF_001304715.1_ASM130471v1,Megasphaera-DSMZ-102144,1,2504349,0,2504349
Mitsuokella-multacida-DSM-20544-GCF_000155955.1_ASM15595v1,Mitsuokella-multacida-DSM-20544,6,2577056,543,2576513
Olsenella-uli-DSM-7084-GCF_000143845.1_ASM14384v1,Olsenella-uli-DSM-7084,1,2051896,926,2050970
Parabacteroides-distasonis-ATCC-8503-GCF_000012845.1_ASM1284v1,Parabacteroides-distasonis-ATCC-8503,1,4811379,34169,4777210
Parabacteroides-johnsonii-DSM-18315-GCF_000156495.1_ASM15649v1,Parabacteroides-johnsonii-DSM-18315,106,4787097,7875,4779222
Parabacteroides-merdae-ATCC-43184-DSMZ-19495-GCF_000154105.1_ASM15410v1,Parabacteroides-merdae-ATCC-43184,93,4434377,432,4433945
Parabacteroides-sp.-D13-GCF_000162275.1_ASM16227v1,Parabacteroides-sp-D13,22,5370710,24628,5346082
Prevotella-buccae-D17-GCF_000162455.1_ASM16245v1,Prevotella-buccae-D17,84,3357950,81940,3276010
Prevotella-buccalis-ATCC-35310-DSMZ-20616-GCF_000177075.1_ASM17707v1,Prevotella-buccalis-ATCC-35310,118,3033961,12177,3021784
Prevotella-copri-DSM-18205-GCF_000157935.1_ASM15793v1,Prevotella-copri-DSM-18205,27,3512473,10347,3502126
Roseburia-intestinalis-L1-82-GCF_000156535.1_ASM15653v1,Roseburia-intestinalis-L1-82,102,4411375,3443,4407932
Roseburia-inulinivorans-DSM-16841-GCF_000174195.1_ASM17419v1,Roseburia-inulinivorans-DSM-16841,179,4048462,21954,4026508
Ruminococcus-albus-strain-8-GCF_000178155.2_ASM17815v2,Ruminococcus-albus-strain-8,136,4052160,3169,4048991
Ruminococcus-flavefaciens-FD-1-GCF_000174895.1_ASM17489v1,Ruminococcus-flavefaciens-FD-1,119,4573608,10157,4563451
Ruminococcus-gnavus-ATCC-29149-GCF_000169475.1_ASM16947v1,Ruminococcus-gnavus-ATCC-29149,43,3501911,11405,3490506
Ruminococcus-lactaris-ATCC-29176-GCF_000155205.1_ASM15520v1,Ruminococcus-lactaris-ATCC-29176,47,2731235,8856,2722379
Ruminococcus-obeum-ATCC-29174-GCF_000153905.1_ASM15390v1,Ruminococcus-obeum-ATCC-29174,54,3625508,2512,3622996
Ruminococcus-torques-ATCC-27756-GCF_000153925.1_ASM15392v1,Ruminococcus-torques-ATCC-27756,41,2741706,3848,2737858
Slackia-exigua-ATCC-700122-DSMZ-15923-GCF_000162875.1_ASM16287v1,Slackia-exigua-ATCC-700122,2,2096289,3472,2092817
Slackia-heliotrinireducens-DSM-20476-GCF_000023885.1_ASM2388v1,Slackia-heliotrinireducens-DSM-20476,1,3165038,0,3165038
Solobacterium-moorei-DSM-22971-GCF_000425005.1_ASM42500v1,Solobacterium-moorei-DSM-22971,169,2335946,0,2335946
Streptococcus-thermophilus-LMD-9-ATCC-19258-GCF_000014485.1_ASM1448v1,Streptococcus-thermophilus-LMD-9,3,1864178,9013,1855165
Subdoligranulum-variabile-DSM-15176-GCF_000157955.1_ASM15795v1,Subdoligranulum-variabile-DSM-15176,11,3245471,6554,3238917
Veillonella-dispar-ATCC-17748-GCF_000160015.1_ASM16001v1,Veillonella-dispar-ATCC-17748,3,2118767,15949,2102818
Veillonella-sp.-3_1_44-HM-64-GCF_000163715.1_ASM16371v1,Veilonella-sp-3-1-44,16,2163458,10287,2153171
Veillonella-sp.-6_1_27-HM-49-GCF_000163735.1_ASM16373v1,Veilonella-sp-6-1-27,10,2174425,12177,2162248
Ruminococcus-bromii-ATCC-27255-GCF_002834225.1_ASM283422v1,Ruminococcus-bromii-ATCC-27255,74,2151595,0,2151595
